============================================================
structok model training
  Size: 410m-llama (1024h 24L 16H 4KV llama)
  Device: cuda:0 (single)
  Tokenizer: /root/standard-64k.json
  Data: /root/data/
  Steps: 40000
  Batch size: 8 per GPU (8 effective)
  Checkpoint every: 5000 steps
============================================================

Tokenizer vocab: 65,536
Creating model from scratch...
Architecture: llama
Parameters: 404,800,512 (404.8M)
  Gradient checkpointing: disabled (faster)
  Mixed precision: fp16
Loading pre-tokenized data from /root/data/tokens.bin...
  1,269,271,190 tokens memory-mapped from binary
  1,269,271,190 tokens -> 619,761 sequences of 2048

Training from step 0 to 40000...

  step     50/40000 | loss 7.8505 | ppl 2567.1 | 1.6 steps/s | eta 420m
  step    100/40000 | loss 6.8665 | ppl 959.6 | 1.6 steps/s | eta 413m
  step    150/40000 | loss 6.4379 | ppl 625.1 | 1.6 steps/s | eta 411m
  step    200/40000 | loss 6.3153 | ppl 553.0 | 1.6 steps/s | eta 409m
  step    250/40000 | loss 6.0056 | ppl 405.7 | 1.6 steps/s | eta 408m
  step    300/40000 | loss 6.1664 | ppl 476.5 | 1.6 steps/s | eta 408m
  step    350/40000 | loss 5.6950 | ppl 297.4 | 1.6 steps/s | eta 407m
  step    400/40000 | loss 5.6423 | ppl 282.1 | 1.6 steps/s | eta 406m
  step    450/40000 | loss 5.6910 | ppl 296.2 | 1.6 steps/s | eta 406m
  step    500/40000 | loss 5.6394 | ppl 281.3 | 1.6 steps/s | eta 405m
  step    550/40000 | loss 5.4453 | ppl 231.7 | 1.6 steps/s | eta 405m
  step    600/40000 | loss 5.2667 | ppl 193.8 | 1.6 steps/s | eta 404m
  step    650/40000 | loss 5.3035 | ppl 201.0 | 1.6 steps/s | eta 404m
  step    700/40000 | loss 5.2502 | ppl 190.6 | 1.6 steps/s | eta 403m
  step    750/40000 | loss 5.1483 | ppl 172.1 | 1.6 steps/s | eta 403m
  step    800/40000 | loss 5.2366 | ppl 188.0 | 1.6 steps/s | eta 402m
  step    850/40000 | loss 5.2493 | ppl 190.4 | 1.6 steps/s | eta 401m
  step    900/40000 | loss 5.1624 | ppl 174.6 | 1.6 steps/s | eta 401m
  step    950/40000 | loss 5.0567 | ppl 157.1 | 1.6 steps/s | eta 400m
  step   1000/40000 | loss 5.0578 | ppl 157.2 | 1.6 steps/s | eta 400m
  step   1050/40000 | loss 4.9902 | ppl 147.0 | 1.6 steps/s | eta 399m
  step   1100/40000 | loss 4.8086 | ppl 122.6 | 1.6 steps/s | eta 399m
  step   1150/40000 | loss 5.0143 | ppl 150.6 | 1.6 steps/s | eta 398m
