============================================================
structok model training
  Size: 410m-llama (1024h 24L 16H 4KV llama)
  Device: cuda:0 (single)
  Tokenizer: /root/structok-64k.json
  Data: /root/data/
  Steps: 20000
  Batch size: 8 per GPU (8 effective)
  Checkpoint every: 5000 steps
============================================================

Tokenizer vocab: 65,539
Creating model from scratch...
Architecture: llama
Parameters: 404,806,656 (404.8M)
  Gradient checkpointing: disabled (faster)
  Mixed precision: fp16
Loading pre-tokenized data from /root/data/tokens.bin...
  1,258,728,671 tokens memory-mapped from binary
  1,258,728,671 tokens -> 614,613 sequences of 2048

Training from step 0 to 20000...

  step     50/20000 | loss 7.6131 | ppl 2024.5 | 1.5 steps/s | eta 216m
  step    100/20000 | loss 6.8290 | ppl 924.3 | 1.5 steps/s | eta 215m
  step    150/20000 | loss 6.4745 | ppl 648.4 | 1.5 steps/s | eta 216m
  step    200/20000 | loss 6.5006 | ppl 665.5 | 1.5 steps/s | eta 216m
  step    250/20000 | loss 6.4875 | ppl 656.9 | 1.5 steps/s | eta 216m
  step    300/20000 | loss 6.1766 | ppl 481.3 | 1.5 steps/s | eta 217m
  step    350/20000 | loss 6.2023 | ppl 493.9 | 1.5 steps/s | eta 217m
  step    400/20000 | loss 5.9484 | ppl 383.2 | 1.5 steps/s | eta 217m
  step    450/20000 | loss 5.7201 | ppl 304.9 | 1.5 steps/s | eta 217m
  step    500/20000 | loss 5.8713 | ppl 354.7 | 1.5 steps/s | eta 217m
  step    550/20000 | loss 5.6621 | ppl 287.7 | 1.5 steps/s | eta 217m
  step    600/20000 | loss 5.7789 | ppl 323.4 | 1.5 steps/s | eta 216m
  step    650/20000 | loss 5.7431 | ppl 312.0 | 1.5 steps/s | eta 216m
  step    700/20000 | loss 5.6588 | ppl 286.8 | 1.5 steps/s | eta 216m
  step    750/20000 | loss 5.6310 | ppl 278.9 | 1.5 steps/s | eta 216m
  step    800/20000 | loss 5.4145 | ppl 224.6 | 1.5 steps/s | eta 215m
  step    850/20000 | loss 5.4695 | ppl 237.3 | 1.5 steps/s | eta 215m
  step    900/20000 | loss 5.3156 | ppl 203.5 | 1.5 steps/s | eta 215m
  step    950/20000 | loss 5.4810 | ppl 240.1 | 1.5 steps/s | eta 214m
  step   1000/20000 | loss 5.3250 | ppl 205.4 | 1.5 steps/s | eta 214m
  step   1050/20000 | loss 5.3843 | ppl 218.0 | 1.5 steps/s | eta 213m
  step   1100/20000 | loss 5.3256 | ppl 205.5 | 1.5 steps/s | eta 213m
  step   1150/20000 | loss 5.2752 | ppl 195.4 | 1.5 steps/s | eta 213m
  step   1200/20000 | loss 5.1006 | ppl 164.1 | 1.5 steps/s | eta 212m
  step   1250/20000 | loss 5.1555 | ppl 173.4 | 1.5 steps/s | eta 212m
  step   1300/20000 | loss 5.0590 | ppl 157.4 | 1.5 steps/s | eta 211m
  step   1350/20000 | loss 5.1697 | ppl 175.9 | 1.5 steps/s | eta 211m
  step   1400/20000 | loss 5.1655 | ppl 175.1 | 1.5 steps/s | eta 210m
  step   1450/20000 | loss 5.1601 | ppl 174.2 | 1.5 steps/s | eta 210m
  step   1500/20000 | loss 4.9342 | ppl 139.0 | 1.5 steps/s | eta 209m
  step   1550/20000 | loss 4.9277 | ppl 138.1 | 1.5 steps/s | eta 209m
  step   1600/20000 | loss 5.2759 | ppl 195.6 | 1.5 steps/s | eta 208m
  step   1650/20000 | loss 4.8057 | ppl 122.2 | 1.5 steps/s | eta 208m
  step   1700/20000 | loss 4.8058 | ppl 122.2 | 1.5 steps/s | eta 207m
  step   1750/20000 | loss 5.0248 | ppl 152.1 | 1.5 steps/s | eta 207m
  step   1800/20000 | loss 4.9109 | ppl 135.8 | 1.5 steps/s | eta 206m
  step   1850/20000 | loss 4.9138 | ppl 136.2 | 1.5 steps/s | eta 206m
  step   1900/20000 | loss 4.7858 | ppl 119.8 | 1.5 steps/s | eta 205m
  step   1950/20000 | loss 4.8112 | ppl 122.9 | 1.5 steps/s | eta 205m
  step   2000/20000 | loss 4.8723 | ppl 130.6 | 1.5 steps/s | eta 204m
  step   2050/20000 | loss 4.8517 | ppl 128.0 | 1.5 steps/s | eta 204m
  step   2100/20000 | loss 4.7020 | ppl 110.2 | 1.5 steps/s | eta 203m
  step   2150/20000 | loss 4.8898 | ppl 132.9 | 1.5 steps/s | eta 203m
  step   2200/20000 | loss 4.7932 | ppl 120.7 | 1.5 steps/s | eta 202m
  step   2250/20000 | loss 4.8937 | ppl 133.4 | 1.5 steps/s | eta 202m
  step   2300/20000 | loss 4.8266 | ppl 124.8 | 1.5 steps/s | eta 201m
  step   2350/20000 | loss 4.7980 | ppl 121.3 | 1.5 steps/s | eta 201m
  step   2400/20000 | loss 4.7389 | ppl 114.3 | 1.5 steps/s | eta 200m
  step   2450/20000 | loss 4.6503 | ppl 104.6 | 1.5 steps/s | eta 200m
  step   2500/20000 | loss 4.7027 | ppl 110.2 | 1.5 steps/s | eta 199m
  step   2550/20000 | loss 4.7168 | ppl 111.8 | 1.5 steps/s | eta 199m
  step   2600/20000 | loss 4.4347 | ppl 84.3 | 1.5 steps/s | eta 198m
  step   2650/20000 | loss 4.3950 | ppl 81.0 | 1.5 steps/s | eta 198m
  step   2700/20000 | loss 4.8146 | ppl 123.3 | 1.5 steps/s | eta 197m
  step   2750/20000 | loss 4.7275 | ppl 113.0 | 1.5 steps/s | eta 197m
  step   2800/20000 | loss 4.5688 | ppl 96.4 | 1.5 steps/s | eta 196m
  step   2850/20000 | loss 4.8830 | ppl 132.0 | 1.5 steps/s | eta 196m
  step   2900/20000 | loss 4.5086 | ppl 90.8 | 1.5 steps/s | eta 195m
  step   2950/20000 | loss 4.5983 | ppl 99.3 | 1.5 steps/s | eta 194m
  step   3000/20000 | loss 4.3880 | ppl 80.5 | 1.5 steps/s | eta 194m
  step   3050/20000 | loss 4.6455 | ppl 104.1 | 1.5 steps/s | eta 193m
  step   3100/20000 | loss 4.5743 | ppl 97.0 | 1.5 steps/s | eta 193m
  step   3150/20000 | loss 4.6040 | ppl 99.9 | 1.5 steps/s | eta 192m
  step   3200/20000 | loss 4.7023 | ppl 110.2 | 1.5 steps/s | eta 192m
  step   3250/20000 | loss 4.6268 | ppl 102.2 | 1.5 steps/s | eta 191m
  step   3300/20000 | loss 4.5857 | ppl 98.1 | 1.5 steps/s | eta 191m
  step   3350/20000 | loss 4.5104 | ppl 91.0 | 1.5 steps/s | eta 190m
  step   3400/20000 | loss 4.4625 | ppl 86.7 | 1.5 steps/s | eta 190m
  step   3450/20000 | loss 4.4117 | ppl 82.4 | 1.5 steps/s | eta 189m
  step   3500/20000 | loss 4.6157 | ppl 101.1 | 1.5 steps/s | eta 188m
  step   3550/20000 | loss 4.6084 | ppl 100.3 | 1.5 steps/s | eta 188m
  step   3600/20000 | loss 4.4107 | ppl 82.3 | 1.5 steps/s | eta 187m
  step   3650/20000 | loss 4.6465 | ppl 104.2 | 1.5 steps/s | eta 187m
  step   3700/20000 | loss 4.4907 | ppl 89.2 | 1.5 steps/s | eta 186m
  step   3750/20000 | loss 4.5253 | ppl 92.3 | 1.5 steps/s | eta 186m
  step   3800/20000 | loss 4.6520 | ppl 104.8 | 1.5 steps/s | eta 185m
  step   3850/20000 | loss 4.4065 | ppl 82.0 | 1.5 steps/s | eta 185m
  step   3900/20000 | loss 4.3757 | ppl 79.5 | 1.5 steps/s | eta 184m
  step   3950/20000 | loss 4.4071 | ppl 82.0 | 1.5 steps/s | eta 183m
  step   4000/20000 | loss 4.7242 | ppl 112.6 | 1.5 steps/s | eta 183m
  step   4050/20000 | loss 4.4219 | ppl 83.3 | 1.5 steps/s | eta 182m
  step   4100/20000 | loss 4.3133 | ppl 74.7 | 1.5 steps/s | eta 182m
  step   4150/20000 | loss 4.6415 | ppl 103.7 | 1.5 steps/s | eta 181m
  step   4200/20000 | loss 4.6666 | ppl 106.3 | 1.5 steps/s | eta 181m
