============================================================
structok model training
  Size: 410m-llama (1024h 24L 16H 4KV llama)
  Device: cuda:0 (single)
  Tokenizer: /root/structok-64k.json
  Data: /root/data/
  Steps: 40000
  Batch size: 8 per GPU (8 effective)
  Checkpoint every: 5000 steps
============================================================

Tokenizer vocab: 65,539
Resuming from /root/checkpoints/step-20000...
Architecture: llama
Parameters: 404,806,656 (404.8M)
  Gradient checkpointing: disabled (faster)
  Mixed precision: fp16
Resumed from step 20000, loss 4.4189
  Resumed training log from R2 (412 entries)
Loading pre-tokenized data from /root/data/tokens.bin...
  1,258,728,671 tokens memory-mapped from binary
  1,258,728,671 tokens -> 614,613 sequences of 2048

Training from step 20000 to 40000...

  step  20050/40000 | loss 3.5535 | ppl 34.9 | 1.5 steps/s | eta 220m
  step  20100/40000 | loss 3.2654 | ppl 26.2 | 1.5 steps/s | eta 218m
  step  20150/40000 | loss 3.5882 | ppl 36.2 | 1.5 steps/s | eta 218m
  step  20200/40000 | loss 3.3490 | ppl 28.5 | 1.5 steps/s | eta 219m
  step  20250/40000 | loss 3.5235 | ppl 33.9 | 1.5 steps/s | eta 219m
  step  20300/40000 | loss 3.4565 | ppl 31.7 | 1.5 steps/s | eta 219m
  step  20350/40000 | loss 3.4988 | ppl 33.1 | 1.5 steps/s | eta 219m
  step  20400/40000 | loss 3.4931 | ppl 32.9 | 1.5 steps/s | eta 219m
  step  20450/40000 | loss 3.3236 | ppl 27.8 | 1.5 steps/s | eta 219m
  step  20500/40000 | loss 3.4270 | ppl 30.8 | 1.5 steps/s | eta 218m
  step  20550/40000 | loss 3.5312 | ppl 34.2 | 1.5 steps/s | eta 218m
  step  20600/40000 | loss 3.4953 | ppl 33.0 | 1.5 steps/s | eta 218m
  step  20650/40000 | loss 3.5415 | ppl 34.5 | 1.5 steps/s | eta 217m
  step  20700/40000 | loss 3.6301 | ppl 37.7 | 1.5 steps/s | eta 217m
  step  20750/40000 | loss 3.4731 | ppl 32.2 | 1.5 steps/s | eta 217m
  step  20800/40000 | loss 3.4584 | ppl 31.8 | 1.5 steps/s | eta 216m
  step  20850/40000 | loss 3.2441 | ppl 25.6 | 1.5 steps/s | eta 216m
  step  20900/40000 | loss 3.4026 | ppl 30.0 | 1.5 steps/s | eta 215m
  step  20950/40000 | loss 3.5869 | ppl 36.1 | 1.5 steps/s | eta 215m
  step  21000/40000 | loss 3.2700 | ppl 26.3 | 1.5 steps/s | eta 215m
  step  21050/40000 | loss 3.2808 | ppl 26.6 | 1.5 steps/s | eta 214m
  step  21100/40000 | loss 3.4867 | ppl 32.7 | 1.5 steps/s | eta 214m
  step  21150/40000 | loss 3.5477 | ppl 34.7 | 1.5 steps/s | eta 213m
  step  21200/40000 | loss 3.5227 | ppl 33.9 | 1.5 steps/s | eta 213m
  step  21250/40000 | loss 3.3688 | ppl 29.0 | 1.5 steps/s | eta 212m
